STORAGE_CPU,STORAGE_MEM,STORAGE_IO,Hardware Config Name,Hardware Revision,Hardware Status
1.0,8.0,15.0,HW_CONF99,1.0,0.0
1.0,8.0,30.0,HW_CONF38,1.0,0.0
1.0,8.0,45.0,HW_CONF39,1.0,0.0
2.0,16.0,60.0,HW_CONF105,1.0,0.0
3.0,24.0,75.0,HW_CONF106,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,2.0,1.0
,,,,2.0,1.0
,,,,2.0,1.0
,,,,2.0,1.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
,,,,1.0,0.0
