System Name,Applicable Role
RC112,ADMIN
RC112,UAS
RC112,INF
RC112,MWS
RC112,OMBS
RC112,WAS
RC112,NEDSS
RC112,NAS
RC112,OAP
RC112,EBA
RC112,STORAGE
RC112,OMSAS
RC112,DAE
RC112,TEST
RC112,SWITCH
ES112,ENIQS
ES112,BIS
ES112,MWS
ES112,OMBS
ES112,WAS
ES112,NAS
ES112,STORAGE
ES112,DAE
ES112,SWITCH
RC112_ES112,ADMIN
RC112_ES112,UAS
RC112_ES112,INF
RC112_ES112,MWS
RC112_ES112,OMBS
RC112_ES112,WAS
RC112_ES112,NEDSS
RC112_ES112,NAS
RC112_ES112,OAP
RC112_ES112,EBA
RC112_ES112,STORAGE
RC112_ES112,OMSAS
RC112_ES112,DAE
RC112_ES112,SWITCH
RC112_ES112,ENIQS
RC112_ES112,BIS
RC112_ES112,ENCLOSURE
RC112,ENCLOSURE
ES112,ENCLOSURE
EE112,PRESENTATION
EE112,MEDIATION
EE112,COORDINATOR
EE112,IQSERVER
EE112,SWITCH
EE112,ENCLOSURE
EE112,MWS
EE112,DAE
EE112,NAS
EE112,STORAGE
EE112,OMBS
RC113,ADMIN
RC113,UAS
RC113,INF
RC113,MWS
RC113,OMBS
RC113,WAS
RC113,NEDSS
RC113,NAS
RC113,OAP
RC113,EBA
RC113,STORAGE
RC113,OMSAS
RC113,DAE
RC113,SWITCH
ES113,ENIQS
ES113,BIS
ES113,MWS
ES113,OMBS
ES113,WAS
ES113,NAS
ES113,STORAGE
ES113,DAE
ES113,SWITCH
RC113_ES113,ADMIN
RC113_ES113,UAS
RC113_ES113,INF
RC113_ES113,MWS
RC113_ES113,OMBS
RC113_ES113,WAS
RC113_ES113,NEDSS
RC113_ES113,NAS
RC113_ES113,OAP
RC113_ES113,EBA
RC113_ES113,STORAGE
RC113_ES113,OMSAS
RC113_ES113,DAE
RC113_ES113,SWITCH
RC113_ES113,ENIQS
RC113_ES113,BIS
RC113_ES113,ENCLOSURE
RC113,ENCLOSURE
ES113,ENCLOSURE
EE113,PRESENTATION
EE113,MEDIATION
EE113,COORDINATOR
EE113,IQSERVER
EE113,SWITCH
EE113,ENCLOSURE
EE113,MWS
EE113,DAE
EE113,NAS
EE113,STORAGE
EE113,OMBS
