Variable Name,Formula Name,Applicable Role,Applicable Network,Applicable System
ADMIN_CPU,FML_ADMIN_CPU_RC112,ADMIN,LR,RC112
ADMIN_MEM,FML_ADMIN_LTE_MEM_RC112,ADMIN,LR,RC112
ADMIN_IO,FML_ADMIN_LTE_IO_RC112,ADMIN,LR,RC112
ADMIN_CPU,FML_ADMIN_LTE_CORE_CPU_RC112,ADMIN,LR_CN,RC112
ADMIN_MEM,FML_ADMIN_LTE_CORE_MEM_RC112,ADMIN,LR_CN,RC112
ADMIN_IO,FML_ADMIN_LTE_CORE_IO_RC112,ADMIN,LR_CN,RC112
ADMIN_CPU,FML_ADMIN_CPU_RC112,ADMIN,WR,RC112
ADMIN_MEM,FML_ADMIN_WRAN_MEM_RC112,ADMIN,WR,RC112
ADMIN_IO,FML_ADMIN_WRAN_IO_RC112,ADMIN,WR,RC112
ADMIN_CPU,FML_ADMIN_WRAN_CORE_CPU_RC112,ADMIN,WR_CN,RC112
ADMIN_MEM,FML_ADMIN_WRAN_CORE_MEM_RC112,ADMIN,WR_CN,RC112
ADMIN_IO,FML_ADMIN_WRAN_CORE_IO_RC112,ADMIN,WR_CN,RC112
ADMIN_CPU,FML_ADMIN_WRAN_LTE_CPU_RC112,ADMIN,WR_LR,RC112
ADMIN_MEM,FML_ADMIN_WRAN_LTE_MEM_RC112,ADMIN,WR_LR,RC112
ADMIN_IO,FML_ADMIN_WRAN_LTE_IO_RC112,ADMIN,WR_LR,RC112
ADMIN_CPU,FML_ADMIN_WRAN_LTE_CORE_CPU_RC112,ADMIN,WR_LR_CN,RC112
ADMIN_MEM,FML_ADMIN_WRAN_LTE_CORE_MEM_RC112,ADMIN,WR_LR_CN,RC112
ADMIN_IO,FML_ADMIN_WRAN_LTE_CORE_IO_RC112,ADMIN,WR_LR_CN,RC112
ADMIN_CPU,FML_ADMIN_CORE_CPU_RC112,ADMIN,CN,RC112
ADMIN_MEM,FML_ADMIN_CORE_MEM_RC112,ADMIN,CN,RC112
ADMIN_IO,FML_ADMIN_CORE_IO_RC112,ADMIN,CN,RC112
UAS_CPU,FML_UAS_USER,UAS,LR,RC112
UAS_CPU,FML_UAS_USER,UAS,LR_CN,RC112
UAS_CPU,FML_UAS_USER,UAS,WR,RC112
UAS_CPU,FML_UAS_USER,UAS,WR_CN,RC112
UAS_CPU,FML_UAS_USER,UAS,WR_LR,RC112
UAS_CPU,FML_UAS_USER,UAS,WR_LR_CN,RC112
UAS_CPU,FML_UAS_USER,UAS,CN,RC112
ENIQS_CPU,FML_ENIQS_CPU_ES112,ENIQS,LR,ES112
ENIQS_MEM,FML_ENIQS_MEM_ES112,ENIQS,LR,ES112
ENIQS_IO,FML_ENIQS_IO_ES112,ENIQS,LR,ES112
ENIQS_PM_CNT,FML_CNT_ES112,ENIQS,LR,ES112
ENIQS_PM_CELL,FML_CELL_ES112,ENIQS,LR,ES112
ENIQS_PM_ROP,FML_ROP_ES112,ENIQS,LR,ES112
ENIQS_CPU,FML_ENIQS_CPU_ES112,ENIQS,LR_CN,ES112
ENIQS_MEM,FML_ENIQS_MEM_ES112,ENIQS,LR_CN,ES112
ENIQS_IO,FML_ENIQS_IO_ES112,ENIQS,LR_CN,ES112
ENIQS_PM_CNT,FML_CNT_ES112,ENIQS,LR_CN,ES112
ENIQS_PM_CELL,FML_CELL_ES112,ENIQS,LR_CN,ES112
ENIQS_PM_ROP,FML_ROP_ES112,ENIQS,LR_CN,ES112
ENIQS_CPU,FML_ENIQS_CPU_ES112,ENIQS,WR,ES112
ENIQS_MEM,FML_ENIQS_MEM_ES112,ENIQS,WR,ES112
ENIQS_IO,FML_ENIQS_IO_ES112,ENIQS,WR,ES112
ENIQS_PM_CNT,FML_CNT_ES112,ENIQS,WR,ES112
ENIQS_PM_CELL,FML_CELL_ES112,ENIQS,WR,ES112
ENIQS_PM_ROP,FML_ROP_ES112,ENIQS,WR,ES112
ENIQS_CPU,FML_ENIQS_CPU_ES112,ENIQS,GR,ES112
ENIQS_MEM,FML_ENIQS_MEM_ES112,ENIQS,GR,ES112
ENIQS_IO,FML_ENIQS_IO_ES112,ENIQS,GR,ES112
ENIQS_PM_CNT,FML_CNT_ES112,ENIQS,GR,ES112
ENIQS_PM_CELL,FML_CELL_ES112,ENIQS,GR,ES112
ENIQS_PM_ROP,FML_ROP_ES112,ENIQS,GR,ES112
ENIQS_CPU,FML_ENIQS_CPU_ES112,ENIQS,WR_CN,ES112
